orden reporte,zm_flag,nombre_zm,nombre_zm_match_sina,nombre_zm_match,estado,clasificacion,remuneraciones_2014,remuneraciones_2009,remuneraciones_2000,remuneraciones_1980,autos_2014,autos_1980,autos_2000,autos_2005,autos_2010,tam_fam_2010,tam_fam_2005,tam_fam_2000,tam_fam_1980,pob_1980,pob_2000,pob_2005,pob_2010,area_1980,area_2000,area_2005,area_2010,dis_sub_2015,normativa
14,0,Aguascalientes,Aguascalientes,Aguascalientes,Aguascalientes,500mil - 1 millon,95,91,,,356210,51047,159812,252345,338329,3.9,4.08,,,359454,727582,834498,932369,1587,7768,8615,9750,86252190.02,1
6,0,Tijuana,Tijuana,Tijuana,Baja California,1 millon +,105,100,,,489713,120355,321758,527091,432319,3.66,3.85,,,491797,1352035,1575026,1751430,6101,22380,24485,26672,135623699,
51,0,Ensenada ,Ensenada ,Ensenada ,Baja California,100mil - 500mil,88,81,,,123618,69957,105983,156173,105767,3.41,3.66,,,120483,231241,268716,288597,1689,5389,5865,6323,7028566.92,
13,0,Mexicali,Mexicali,Mexicali,Baja California  ,500mil - 1 millon,114,112,,,354356,119363,277569,422357,283741,3.69,3.67,,,510664,764602,855962,936826,4763,13424,15295,17782,66357989.16,
59,0,La Paz ,La Paz ,La Paz ,Baja California Sur,100mil - 500mil,76,77,,,209979,28200,88423,160376,195025,3.47,3.65,,,91453,162954,189176,215178,1885,2742,3516,3896,40027323.71,
81,0,Cabo San Lucas ,Cabo San Lucas ,Cabo San Lucas ,Baja California Sur,100mil - 500mil,89,92,,,101500,0,40629,94182,194482,3.57,3.76,,,4233,48143,87876,128057,28,844,1414,2086,9799494.3,
102,0,San José del Cabo ,San José del Cabo ,San José del Cabo ,Baja California Sur,50mil- 100mil,89,92,,,101500,0,40629,94182,194482,3.57,3.76,,,4369,38080,59325,87488,16,957,1244,2236,9799494.3,
57,0,Campeche ,Campeche ,Campeche ,Campeche,100mil - 500mil,69,57,,,107442,12380,34281,42017,81826,3.56,4,,,128434,190813,211671,228670,987,3882,4262,4673,6507984.21,
66,0,Ciudad del Carmen ,Carmen,Carmen,Campeche,100mil - 500mil,249,226,,,87936,7166,24577,32848,65124,3.73,3.83,,,72489,126024,154197,169466,204,2191,2203,2603,2910883.84,
24,0,Tuxtla Gutiérrez,Tuxtla Gutiérrez,Tuxtla Gutiérrez,Chiapas,500mil - 1 millon,69,58,,,204291,18843,74323,101299,171631,3.84,3.87,,,196785,523482,610714,684156,927,12887,13767,14145,5211569.44,
58,0,Tapachula de Córdova y Ordóñez ,Tapachula,Tapachula,Chiapas,100mil - 500mil,66,50,,,77559,10616,33970,36697,65178,3.72,4.06,,,85766,182018,192737,215235,457,3309,3375,3709,9364777.79,
