orden reporte,zm_flag,nombre_zm,nombre_zm_match_sina,nombre_zm_match,estado,clasificacion,pob_1980,pob_2000,pob_2005,pob_2010,cambio_pob,area_1980,area_2000,area_2005,area_2010,cambio_area,sub_2015,sub_2010,normativa,remuneraciones_1980,remuneraciones_2000,remunera_2009,remunera_2014,autos_2014,autos_1980,tasamoto_1980,autos_2000,tasamoto_2000,autos_2005,tasamoto_2005,autos_2010,tasamoto_2010,tam_fam_1980,tam_fam_2000,tam_fam_2005,tam_fam_2010
14,0,Aguascalientes,Aguascalientes,Aguascalientes,Aguascalientes,500mil - 1 millon,"359,454","727,582","834,498","932,369",2.6,"1,587","7,768","8,615","9,750",6.1,86252190.02,52135300.05,1,,,91,95,"356,210","51,047",142,"159,812",220,"252,345",302,"338,329",363,,,4.08,3.9
6,0,Tijuana,Tijuana,Tijuana,Baja California,1 millon +,"491,797","1,352,035","1,575,026","1,751,430",3.6,"6,101","22,380","24,485","26,672",4.4,135623699,61697885.28,,,,100,105,"489,713","120,355",245,"321,758",238,"527,091",335,"432,319",247,,,3.85,3.66
51,0,Ensenada ,Ensenada ,Ensenada ,Baja California,100mil - 500mil,"120,483","231,241","268,716","288,597",2.4,"1,689","5,389","5,865","6,323",3.7,7028566.92,29394940.1,,,,81,88,"123,618","69,957",581,"105,983",458,"156,173",581,"105,767",366,,,3.66,3.41
13,0,Mexicali,Mexicali,Mexicali,Baja California  ,500mil - 1 millon,"510,664","764,602","855,962","936,826",1.8,"4,763","13,424","15,295","17,782",3.7,66357989.16,103060623.9,,,,112,114,"354,356","119,363",234,"277,569",363,"422,357",493,"283,741",303,,,3.67,3.69
59,0,La Paz ,La Paz ,La Paz ,Baja California Sur,100mil - 500mil,"91,453","162,954","189,176","215,178",2.4,"1,885","2,742","3,516","3,896",2.1,40027323.71,11603134.47,,,,77,76,"209,979","28,200",308,"88,423",543,"160,376",848,"195,025",906,,,3.65,3.47
102,0,San José del Cabo ,San Jose del Cabo ,San José del Cabo ,Baja California Sur,50mil- 100mil,"4,369","38,080","59,325","87,488",20.0,16,957,"1,244","2,236",139.8,9799494.3,401831.12,,,,92,89,"101,500",0,0,"40,629","1,067","94,182","1,588","194,482","2,223",,,3.76,3.57
81,0,Cabo San Lucas ,Cabo San Lucas ,Cabo San Lucas ,Baja California Sur,100mil - 500mil,"4,233","48,143","87,876","128,057",30.3,28,844,"1,414","2,086",74.5,9799494.3,401831.12,,,,92,89,"101,500",0,0,"40,629",844,"94,182","1,072","194,482","1,519",,,3.76,3.57
57,0,Campeche ,Campeche ,Campeche ,Campeche,100mil - 500mil,"128,434","190,813","211,671","228,670",1.8,987,"3,882","4,262","4,673",4.7,6507984.21,23023335.4,,,,57,69,"107,442","12,380",96,"34,281",180,"42,017",199,"81,826",358,,,4,3.56
66,0,Ciudad del Carmen ,Carmen,Carmen,Campeche,100mil - 500mil,"72,489","126,024","154,197","169,466",2.3,204,"2,191","2,203","2,603",12.8,2910883.84,14224008.64,,,,226,249,"87,936","7,166",99,"24,577",195,"32,848",213,"65,124",384,,,3.83,3.73
24,0,Tuxtla Gutiérrez,Tuxtla Gutierrez,Tuxtla Gutiérrez,Chiapas,500mil - 1 millon,"196,785","523,482","610,714","684,156",3.5,927,"12,887","13,767","14,145",15.3,5211569.44,37845836.61,,,,58,69,204291,"18,843",96,"74,323",142,"101,299",166,"171,631",251,,,3.87,3.84
58,0,Tapachula de Córdova y Ordóñez ,Tapachula,Tapachula,Chiapas,100mil - 500mil,"85,766","182,018","192,737","215,235",2.5,457,"3,309","3,375","3,709",8.1,9364777.79,7398173.04,,,,50,66,77559,"10,616",124,"33,970",187,"36,697",190,"65,178",303,,,4.06,3.72
70,0,San Cristóbal de las Casas ,San Cristobal de las Casas ,San Cristóbal de las Casas ,Chiapas,100mil - 500mil,"42,026","112,442","142,364","158,027",3.8,157,"2,971","3,017","3,110",19.8,2391734.2,9009261.46,,,,62,52,44655,"4,351",104,"17,851",159,"21,831",153,"38,111",241,,,4.4,4.33
98,0,Comitán de Domínguez ,Comitan de Dominguez ,Comitán de Domínguez ,Chiapas,50mil- 100mil,"27,374","70,311","83,571","97,537",3.6,126,"2,377","2,611","2,888",22.9,2183410.41,4811553.3,,,,37,53,31020,"2,569",94,"15,133",215,"14,318",171,"27,139",278,,,4.14,4.01
8,0,Juárez,Juarez,Juárez,Chihuahua,1 millon +,"567,365","1,218,817","1,313,338","1,332,131",2.3,"4,125","19,661","22,184","25,828",6.3,153173290.2,361107428.3,,,,101,119,518036,"128,663",227,"373,579",307,"383,611",292,"468,481",352,,,3.5,3.69
18,0,Chihuahua,Chihuahua,Chihuahua,Chihuahua,500mil - 1 millon,"406,830","696,495","784,882","852,533",2.1,"2,589","13,136","16,112","19,441",7.5,62154341.4,45045476.18,,,,106,113,475258,"56,467",139,"188,305",270,"297,175",379,"380,675",447,,,3.6,3.47
87,0,Cuauhtémoc ,Cuauhtemoc ,Cuauhtémoc ,Chihuahua,100mil - 500mil,"43,456","85,387","98,725","114,007",2.6,180,"3,171","3,262","4,075",22.6,14356800.84,5195609,,,,76,86,65364,"11,395",262,"31,338",367,"42,245",428,"49,679",436,,,3.56,3.48
128,0,Nuevas Casas Grandes,Nuevas Casas Grandes,Nuevas Casas Grandes,Chihuahua,50mil- 100mil,"28,514","50,378","50,863","55,553",1.9,631,"2,617","2,742","2,885",4.6,7300432.96,9341611.06,,,,63,69,21912,"13,030",457,"14,022",278,"19,297",379,"20,436",368,,,3.69,3.47
86,0,Delicias ,Delicias ,Delicias ,Chihuahua,100mil - 500mil,"65,504","98,615","108,187","118,071",1.8,447,"1,964","2,082","2,227",5.0,17138762.95,37781005.75,,,,67,77,61042,"10,117",154,"28,311",287,"42,377",392,"50,572",428,,,3.66,3.47
94,0,Hidalgo del Parral,Hidalgo del Parral,Hidalgo del Parral,Chihuahua,100mil - 500mil,"75,590","98,876","101,147","104,836",1.4,430,"1,557","1,631","2,016",4.7,6685051.2,7899391.06,,,,60,82,50465,"11,395",151,"31,338",317,"42,245",418,"49,679",474,,,3.79,3.69
1,1,Valle de México,Valle de Mexico,Valle de México,Ciudad de Mexico,1 millon +,"14,122,991","18,396,677","19,239,910","20,116,842",1.4,"51,908","167,081","174,616","185,291",3.6,132363101.6,90716100.52,,,,136,167,4737749,"1,869,808",132,"2,511,543",137,"2,696,220",140,"4,166,756",207,,,3.67,3.58
19,0,Saltillo,Saltillo,Saltillo,Coahuila,500mil - 1 millon,"344,850","637,273","725,259","823,128",2.4,"1,497","18,171","18,804","19,177",12.8,21580479.31,46005439.95,,,,105,105,"244,101","29,499",86,"94,069",148,"178,396",246,"225,863",274,,,4,3.87
9,0,La Laguna,La Laguna,La Laguna,Coahuila,1 millon +,"689,195","1,007,291","1,110,890","1,215,817",1.8,"2,364","14,904","16,976","18,993",8.0,134260685,144841560,,,,67,80.5,,"54,619",79,"82,219",82,"153,970",139,"171,201",141,,,4.035,3.91
45,1,Monclova-Frontera ,Monclova-Frontera ,Monclova-Frontera ,Coahuila,100mil - 500mil,"170,478","282,853","294,191","317,313",1.9,"1,589","8,124","8,536","8,690",5.5,8801730.12,13418424.78,,,,118.5,139.5,"70,225","11,469",67,"31,829",113,"55,046",187,"65,846",208,,,3.84,3.68
65,1,Piedras Negras ,Piedras Negras ,Piedras Negras ,Coahuila,100mil - 500mil,"80,290","151,149","169,771","180,734",2.3,547,"5,463","5,848","6,250",11.4,9717167.69,11739819.81,,,,80,96,"49,253","10,080",126,"36,476",241,"56,936",335,"49,184",272,,,3.79,3.72
80,0,Ciudad Acuña ,Acuña ,Acuña ,Coahuila,100mil - 500mil,"38,898","108,159","124,232","134,233",3.5,587,"2,652","3,010","3,346",5.7,22502091.55,10951546.33,,,,82,94,"23,602","6,447",166,"18,286",169,"31,644",255,"26,617",198,,,3.99,3.73
130,0,Sabinas,Sabinas,Sabinas,Coahuila,50mil- 100mil,"27,413","47,578","47,933","54,905",2.0,298,"2,150","2,191","2,223",7.5,7259751.23,5568130.9,,,,77,95,"19,070",6823,249,8952,188,15178,317,17323,316,,,3.7,3.55
