orden reporte,zm_flag,nombre_zm,nombre_zm_match_sina,nombre_zm_match,estado,clasificacion,pob_1980,pob_2000,pob_2005,pob_2010,cambio_pob,area_1980,area_2000,area_2005,area_2010,cambio_area,sub_2015,sub_2010,normativa,remuneraciones_1980,remuneraciones_2000,remunera_2009,remunera_2014,autos_2014,autos_1980,tasamoto_1980,autos_2000,tasamoto_2000,autos_2005,tasamoto_2005,autos_2010,tasamoto_2010,tam_fam_1980,tam_fam_2000,tam_fam_2005,tam_fam_2010
14,0,Aguascalientes,Aguascalientes,Aguascalientes,Aguascalientes,500mil - 1 millon,359454,727582,834498,932369,2.593847892,1587,7768,8615,9750,6.143667297,86252190.02,52135300.05,1,,,91,95,356210,51047,142.012608,159812,219.6480946,252345,302.3913778,338329,362.8702799,,,4.08,3.9
6,0,Tijuana,Tijuana,Tijuana,Baja California,1 millon +,491797,1352035,1575026,1751430,3.561286466,6101,22380,24485,26672,4.371742337,135623699,61697885.28,,,,100,105,489713,120355,244.7249577,321758,237.9805257,527091,334.6554279,432319,246.8377269,,,3.85,3.66
51,0,Ensenada ,Ensenada ,Ensenada ,Baja California,100mil - 500mil,120483,231241,268716,288597,2.395333782,1689,5389,5865,6323,3.743635287,7028566.92,29394940.1,,,,81,88,123618,69957,580.6379323,105983,458.3227023,156173,581.1823635,105767,366.4868311,,,3.66,3.41
13,0,Mexicali,Mexicali,Mexicali,Baja California  ,500mil - 1 millon,510664,764602,855962,936826,1.834525246,4763,13424,15295,17782,3.733361327,66357989.16,103060623.9,,,,112,114,354356,119363,233.7407767,277569,363.0241616,422357,493.4296149,283741,302.8748135,,,3.67,3.69
59,0,La Paz ,La Paz ,La Paz ,Baja California Sur,100mil - 500mil,91453,162954,189176,215178,2.352880715,1885,2742,3516,3896,2.066843501,40027323.71,11603134.47,,,,77,76,209979,28200,308.3551114,88423,542.6255262,160376,847.7608153,195025,906.3426558,,,3.65,3.47
102,0,San Jos_ del Cabo ,San Jose del Cabo ,San Jos_ del Cabo ,Baja California Sur,50mil- 100mil,4369,38080,59325,87488,20.02471962,16,957,1244,2236,139.75,9799494.3,401831.12,,,,92,89,101500,0,0,40629,1066.938025,94182,1587.560051,194482,2222.956291,,,3.76,3.57
81,0,Cabo San Lucas ,Cabo San Lucas ,Cabo San Lucas ,Baja California Sur,100mil - 500mil,4233,48143,87876,128057,30.25206709,28,844,1414,2086,74.5,9799494.3,401831.12,,,,92,89,101500,0,0,40629,843.9233118,94182,1071.760208,194482,1518.714323,,,3.76,3.57
57,0,Campeche ,Campeche ,Campeche ,Campeche,100mil - 500mil,128434,190813,211671,228670,1.780447545,987,3882,4262,4673,4.734549139,6507984.21,23023335.4,,,,57,69,107442,12380,96.39192114,34281,179.6575705,42017,198.501448,81826,357.8344339,,,4,3.56
66,0,Ciudad del Carmen ,Carmen,Carmen,Campeche,100mil - 500mil,72489,126024,154197,169466,2.337816772,204,2191,2203,2603,12.75980392,2910883.84,14224008.64,,,,226,249,87936,7166,98.85637821,24577,195.0184092,32848,213.0261938,65124,384.289474,,,3.83,3.73
24,0,Tuxtla Guti_rrez,Tuxtla Gutierrez,Tuxtla Guti_rrez,Chiapas,500mil - 1 millon,196785,523482,610714,684156,3.476667429,927,12887,13767,14145,15.25889968,5211569.44,37845836.61,,,,58,69,204291,18843,95.75424956,74323,141.9781387,101299,165.8697852,171631,250.8652997,,,3.87,3.84
58,0,Tapachula de C—rdova y Ord—–ez ,Tapachula,Tapachula,Chiapas,100mil - 500mil,85766,182018,192737,215235,2.509560898,457,3309,3375,3709,8.115973742,9364777.79,7398173.04,,,,50,66,77559,10616,123.7786535,33970,186.6298937,36697,190.3993525,65178,302.8224963,,,4.06,3.72
70,0,San Crist—bal de las Casas ,San Cristobal de las Casas ,San Crist—bal de las Casas ,Chiapas,100mil - 500mil,42026,112442,142364,158027,3.760219864,157,2971,3017,3110,19.8089172,2391734.2,9009261.46,,,,62,52,44655,4351,103.5311474,17851,158.7574038,21831,153.3463516,38111,241.1676486,,,4.4,4.33
