orden reporte,zm_flag,nombre_zm,nombre_zm_match_sina,nombre_zm_match,estado,clasificacion,pob_1980,den_1980,pob_2000,den_2000,pob_2005,den_2005,pob_2010,den_2010,den_change,cambio_pob,area_1980,area_2000,area_2005,area_2010,cambio_area,sub_2015,sub_2010,sub_2010_nueva_eco,normativa,remuneraciones_1980,remuneraciones_2000,remunera_2009,remunera_2014,autos_2014,autos_1980,tasamoto_1980,autos_2000,tasamoto_2000,autos_2005,tasamoto_2005,autos_2010,tasamoto_2010,tam_fam_1980,tam_fam_2000,tam_fam_2005,tam_fam_2010,cambio_fam,PIB_2010
14,0,Aguascalientes,Aguascalientes,Aguascalientes,Aguascalientes,500mil - 1 millon,359454,226,727582,94,834498,97,932369,96,0.42,2.6,1587,7768,8615,9750,6.1,86252190.02,52135300.05,52135300.05,1,,,91,95,356210,51047,142,159812,220,252345,302,338329,363,,4.81,4.08,3.9,0.955882353,#N/A
6,0,Tijuana,Tijuana,Tijuana,Baja California,1 millon +,491797,81,1352035,60,1575026,64,1751430,66,0.81,3.6,6101,22380,24485,26672,4.4,135623699,61697885.28,61697885.28,,,,100,105,489713,120355,245,321758,238,527091,335,432319,247,,4.71,3.85,3.66,0.950649351,271491556.5
51,0,Ensenada ,Ensenada ,Ensenada ,Baja California,100mil - 500mil,120483,71,231241,43,268716,46,288597,46,0.64,2.4,1689,5389,5865,6323,3.7,7028566.92,29394940.1,29394940.1,,,,81,88,123618,69957,581,105983,458,156173,581,105767,366,,4.15,3.66,3.41,0.931693989,30960709.28
13,0,Mexicali,Mexicali,Mexicali,Baja California  ,500mil - 1 millon,510664,107,764602,57,855962,56,936826,53,0.49,1.8,4763,13424,15295,17782,3.7,66357989.16,103060623.9,103060623.9,,,,112,114,354356,119363,234,277569,363,422357,493,283741,303,,4.11,3.67,3.69,1.005449591,#N/A
59,0,La Paz ,La Paz ,La Paz ,Baja California Sur,100mil - 500mil,91453,49,162954,59,189176,54,215178,55,1.14,2.4,1885,2742,3516,3896,2.1,40027323.71,11603134.47,11603134.47,,,,77,76,209979,28200,308,88423,543,160376,848,195025,906,,3.8,3.65,3.47,0.950684932,12527385.03
81,0,Cabo San Lucas ,Cabo San Lucas ,Cabo San Lucas ,Baja California Sur,100mil - 500mil,4233,151,48143,57,87876,62,128057,61,0.41,30.3,28,844,1414,2086,74.5,9799494.3,401831.12,401831.12,,,,92,89,101500,0,0,40629,844,94182,1072,194482,1519,,4.05,3.76,3.57,0.949468085,181559926.2
102,0,San Jos_ del Cabo ,San Jose del Cabo ,San Jos_ del Cabo ,Baja California Sur,50mil- 100mil,4369,273,38080,40,59325,48,87488,39,0.14,20,16,957,1244,2236,139.8,9799494.3,401831.12,401831.12,,,,92,89,101500,0,0,40629,1067,94182,1588,194482,2223,,4.01,3.76,3.57,0.949468085,23826919.11
57,0,Campeche ,Campeche ,Campeche ,Campeche,100mil - 500mil,128434,130,190813,49,211671,50,228670,49,0.38,1.8,987,3882,4262,4673,4.7,6507984.21,23023335.4,23023335.4,,,,57,69,107442,12380,96,34281,180,42017,199,81826,358,,4.1,4,3.56,0.89,#N/A
66,0,Ciudad del Carmen ,Carmen,Carmen,Campeche,100mil - 500mil,72489,355,126024,58,154197,70,169466,65,0.18,2.3,204,2191,2203,2603,12.8,2910883.84,14224008.64,14224008.64,,,,226,249,87936,7166,99,24577,195,32848,213,65124,384,,4.09,3.83,3.73,0.973890339,#N/A
24,0,Tuxtla Guti_rrez,Tuxtla Gutierrez,Tuxtla Guti_rrez,Chiapas,500mil - 1 millon,196785,212,523482,41,610714,44,684156,48,0.23,3.5,927,12887,13767,14145,15.3,5211569.44,37845836.61,37845836.61,,,,58,69,204291,18843,96,74323,142,101299,166,171631,251,,4.48,3.87,3.84,0.992248062,16938165.8
58,0,Tapachula de CÑrdova y OrdÑ_ez ,Tapachula,Tapachula,Chiapas,100mil - 500mil,85766,188,182018,55,192737,57,215235,58,0.31,2.5,457,3309,3375,3709,8.1,9364777.79,7398173.04,7398173.04,,,,50,66,77559,10616,124,33970,187,36697,190,65178,303,,4.18,4.06,3.72,0.916256158,37952003.21
70,0,San CristÑbal de las Casas ,San Cristobal de las Casas ,San CristÑbal de las Casas ,Chiapas,100mil - 500mil,42026,268,112442,38,142364,47,158027,51,0.19,3.8,157,2971,3017,3110,19.8,2391734.2,9009261.46,9009261.46,,,,62,52,44655,4351,104,17851,159,21831,153,38111,241,,4.13,4.4,4.33,0.984090909,130270836.9
98,0,Comitàn de DomÕnguez ,Comitan de Dominguez ,Comitàn de DomÕnguez ,Chiapas,50mil- 100mil,27374,217,70311,30,83571,32,97537,34,0.16,3.6,126,2377,2611,2888,22.9,2183410.41,4811553.3,4811553.3,,,,37,53,31020,2569,94,15133,215,14318,171,27139,278,,4.43,4.14,4.01,0.968599034,3415520556
8,0,Juàrez,Juarez,Juàrez,Chihuahua,1 millon +,567365,138,1218817,62,1313338,59,1332131,52,0.37,2.3,4125,19661,22184,25828,6.3,153173290.2,361107428.3,361107428.3,,,,101,119,518036,128663,227,373579,307,383611,292,468481,352,,4.41,3.5,3.69,1.054285714,557665314.9
18,0,Chihuahua,Chihuahua,Chihuahua,Chihuahua,500mil - 1 millon,406830,157,696495,53,784882,49,852533,44,0.28,2.1,2589,13136,16112,19441,7.5,62154341.4,45045476.18,45045476.18,,,,106,113,475258,56467,139,188305,270,297175,379,380675,447,,4.44,3.6,3.47,0.963888889,#N/A
86,0,Delicias ,Delicias ,Delicias ,Chihuahua,100mil - 500mil,65504,147,98615,50,108187,52,118071,53,0.36,1.8,447,1964,2082,2227,5,17138762.95,37781005.75,37781005.75,,,,67,77,61042,10117,154,28311,287,42377,392,50572,428,,4.4,3.66,3.47,0.948087432,#N/A
87,0,Cuauht_moc ,Cuauhtemoc ,Cuauht_moc ,Chihuahua,100mil - 500mil,43456,241,85387,27,98725,30,114007,28,0.12,2.6,180,3171,3262,4075,22.6,14356800.84,5195609,5195609,,,,76,86,65364,11395,262,31338,367,42245,428,49679,436,,4.5,3.56,3.48,0.97752809,#N/A
94,0,Hidalgo del Parral,Hidalgo del Parral,Hidalgo del Parral,Chihuahua,100mil - 500mil,75590,176,98876,64,101147,62,104836,52,0.3,1.4,430,1557,1631,2016,4.7,6685051.2,7899391.06,7899391.06,,,,60,82,50465,11395,151,31338,317,42245,418,49679,474,,5.67,3.79,3.69,0.973614776,114557687.1
128,0,Nuevas Casas Grandes,Nuevas Casas Grandes,Nuevas Casas Grandes,Chihuahua,50mil- 100mil,28514,45,50378,19,50863,19,55553,19,0.43,1.9,631,2617,2742,2885,4.6,7300432.96,9341611.06,9341611.06,,,,63,69,21912,13030,457,14022,278,19297,379,20436,368,,4.5,3.69,3.47,0.940379404,#N/A
1,1,Valle de M_xico,Valle de Mexico,Valle de M_xico,Ciudad de Mexico,1 millon +,14122991,272,18396677,110,19239910,110,20116842,109,0.4,1.4,51908,167081,174616,185291,3.6,132363101.6,90716100.52,90716100.52,,,,136,167,4737749,1869808,132,2511543,137,2696220,140,4166756,207,,4.31,3.67,3.58,0.975476839,#N/A
9,0,La Laguna,La Laguna,La Laguna,Coahuila,1 millon +,689195,292,1007291,68,1110890,65,1215817,64,0.22,1.8,2364,14904,16976,18993,8,134260685,144841560,144841560,,,,67,80.5,,54619,79,82219,82,153970,139,171201,141,,4.21,4.035,3.91,0.969021066,139361140.2
19,0,Saltillo,Saltillo,Saltillo,Coahuila,500mil - 1 millon,344850,230,637273,35,725259,39,823128,43,0.19,2.4,1497,18171,18804,19177,12.8,21580479.31,46005439.95,46005439.95,,,,105,105,244101,29499,86,94069,148,178396,246,225863,274,,4.51,4,3.87,0.9675,#N/A
45,1,Monclova-Frontera ,Monclova-Frontera ,Monclova-Frontera ,Coahuila,100mil - 500mil,170478,107,282853,35,294191,34,317313,37,0.34,1.9,1589,8124,8536,8690,5.5,8801730.12,13418424.78,13418424.78,,,,118.5,139.5,70225,11469,67,31829,113,55046,187,65846,208,,3.8,3.84,3.68,0.958333333,#N/A
65,1,Piedras Negras ,Piedras Negras ,Piedras Negras ,Coahuila,100mil - 500mil,80290,147,151149,28,169771,29,180734,29,0.2,2.3,547,5463,5848,6250,11.4,9717167.69,11739819.81,11739819.81,,,,80,96,49253,10080,126,36476,241,56936,335,49184,272,,4.13,3.79,3.72,0.981530343,#N/A
80,0,Ciudad Acu_a ,Acu_a ,Acu_a ,Coahuila,100mil - 500mil,38898,66,108159,41,124232,41,134233,40,0.61,3.5,587,2652,3010,3346,5.7,22502091.55,10951546.33,10951546.33,,,,82,94,23602,6447,166,18286,169,31644,255,26617,198,,3.6,3.99,3.73,0.934837093,#N/A
130,0,Sabinas,Sabinas,Sabinas,Coahuila,50mil- 100mil,27413,92,47578,22,47933,22,54905,25,0.27,2,298,2150,2191,2223,7.5,7259751.23,5568130.9,5568130.9,,,,77,95,19070,6823,249,8952,188,15178,317,17323,316,,3.87,3.7,3.55,0.959459459,350066047.9
44,1,Colima-Villa de çlvarez ,Colima-Villa de alvarez ,Colima-Villa de çlvarez ,Colima,100mil - 500mil,119969,130,275677,51,294828,51,334240,52,0.4,2.8,920,5355,5774,6369,6.9,49869039.57,33169322.13,33169322.13,,,,76,64,140236,26504,221,38065,138,82225,279,112448,336,,4.345,3.63,3.44,0.947658402,40350282.36
74,1,Tecomàn ,Tecoman ,Tecomàn ,Colima,100mil - 500mil,88911,214,127863,55,123089,51,141421,57,0.26,1.6,415,2344,2426,2500,6,13565248.64,3262670.31,3262670.31,,,,77,68,38945,8824,99,10583,83,21786,177,30364,215,,4.535,3.91,3.9,0.997442455,#N/A
76,0,Manzanillo ,Manzanillo ,Manzanillo ,Colima,100mil - 500mil,39088,217,104791,32,119668,34,140290,37,0.17,3.6,180,3296,3505,3836,21.3,7922750.89,2853008,2853008,,,,53,85,67369,162,4,13162,126,34505,288,50966,363,,4.11,3.63,3.5,0.964187328,#N/A
