1,2,3,tierra_ejidal_2012,34,viv_dren_2012,viv_piso_2012,viv_des_2012,povline_2012,gini_2012,pobocu_2012,emp_form_2012,crec_mancha_2012,den_2012,sal_men_2012,prod_trab_2012,pobocusin_2012,crec_pobocusin_2012,merc_hip_2012,cartera_vencida_2012,pib_sector_2012,pib _state_2012,crec_sal_2012,num_sec_2012,unemp_2012,transp_2012,carre_2012,fdi_2012,fronterano_2012,inv_pea_2012,hab_2012,pobocup_2012,pea_2012,vivhab_2012,pib_2012,areakm_2012,autos_2012,tam_cd_2012,region,vivtot_2012
Aguascalientes,1,Aguascalientes,0.259893666,-0.017677226,99.0138059,0.976463296,19.90300918,0.030333081,0.348490447,0.533527992,-0.043886369,1.11744126,9562.758974,5773.421387,369.5761275,0.269610497,0.030418267,12.21645825,0.05047374,0.153937137,0.033075483,-0.03239098,750,0.060109679,1,0.664900662,295.4238361,0,90.64379154,972704.1793,395222,420498,250310.4837,155860414.2,1824.71,283417,De 500 mil a un millón,Centro-Occidente,291574
Ensenada,55,Baja California,0.887248428,0.043730945,75.10628738,1.23756878,23.24082077,0.034873514,0.314466229,0.460597994,-0.072059614,1.053853635,4564.241657,5030.470215,94.15162053,0.101016582,0.233605642,8.743482693,0.074171317,0.3633469,0.008912187,-0.010916202,599,0.054647855,2,0.433211679,106.3844267,1,27.57046455,494997.2628,250939,265445,138193.5313,25179915.48,52482.4,88135,De 250 a 500 mil,Noroeste,168914
Mexicali,3,Baja California,0.830492697,-0.04702278,83.46225423,0.786718202,23.40244658,0.017569572,0.3399882,0.528881519,-0.061024202,1.679121847,5268.395006,5412.566406,313.5318551,0.17561231,0.198258419,16.19417743,0.059509914,0.419381762,0.008912187,-0.044441119,667,0.035067599,2,0.285091096,304.7073024,2,91.02674237,984551.3961,445077,461252,281842.9769,145249770.1,14541.44,257463,De 500 mil a un millón,Noroeste,347015
Tijuana,2,Baja California,0.295322897,0.015991773,87.18339934,1.316728491,24.21618398,0.015583192,0.289077004,0.570232131,-0.051318737,0.804222883,6566.54919,5516.120117,243.3659128,0.117191205,0.043424553,11.98004954,0.104659824,0.293607496,0.008912187,-0.009103832,740,0.073514129,2,0.46361186,215.2915277,2,70.36778554,1849074.157,733724,791943,510086.1754,192773539.7,4422.04,429091,Más de un millón,Noroeste,627188
La Paz,56,Baja California Sur,0.13249945,0.02405007,90.39711527,1.122791422,20.28299247,0.018413641,0.362705238,0.595095933,-0.029645888,0.794774381,5523.049281,6331.463867,213.0416364,0.134412598,0.013184692,10.85863618,0.064710863,0.65882287,0.03024802,-0.011546521,562,0.057934102,2,0.407772622,671.9199204,1,86.19216939,269094.5669,122429,129958,76963.53773,28515603.66,15397.36,153793,De 250 a 500 mil,Noroeste,89331
Los Cabos,57,Baja California Sur,0.078080532,-0.000385629,81.15935434,3.418513281,26.58063236,0.01777669,0.458868866,0.658938312,-0.062190036,1.033888824,6138.878236,6222.640625,316.3401702,0.13602063,0.081131065,15.20885951,0.131997235,0.280093019,0.03024802,0.009312492,497,0.06389819,2,0.39049236,715.3975094,1,137.033899,270171.4746,84149,89893,78994.86641,28470340.34,3750.93,133458,De 250 a 500 mil,Noroeste,90739
Campeche,58,Campeche,0.565143112,-0.008255866,1.557645367,0.534923099,16.35891315,0.074048572,0.352914248,0.502991391,-0.061011854,1.193573012,4893.430345,6144.294922,127.944905,0.060726382,0.007571295,7.716667057,0.025974279,0.4802736,-0.050182492,0.023223766,533,0.025506118,2,0.812080537,3.658922265,1,24.30788099,273304.5218,130207,133615,75481.8778,17157132.51,3244.17,71745,De 250 a 500 mil,Sur-Sureste,85458
Ciudad del Carmen,59,Campeche,0.347709044,-0.015738399,1.502694522,1.21648105,17.62924297,0.075150788,0.480987774,0.454743088,-0.066327357,1.77992219,6510.411064,5576.786133,304.8363637,0.07578606,0.294620194,16.48933919,0.046590267,0.011977982,-0.050182492,-0.006263515,482,0.024551981,2,0.669303797,225.3941523,1,66.20231871,234211.9326,112237,115062,62745.73696,789051818.8,8621.2,55711,Menos de 250 mil,Sur-Sureste,71648
Saltillo,5,Coahuila,0.281868336,-0.002964279,89.28621828,0.724324223,18.30425654,0.028475645,0.348022852,0.651372914,0.013910586,0.153516728,4292.266778,5938.595703,718.2101728,0.095964855,0.046112734,12.65951135,0.042258984,0.168976638,0.0312472,-0.004198689,694,0.052963996,1,1,90.37039851,0,143.3610809,862118.584,377409,398516,230539.0249,287008501.3,14071.46,144906,De 500 mil a un millón,Noreste,261950
Monclova-Frontera,6,Coahuila,0.177094089,0.058599651,91.01608333,0.571231724,11.87111713,0.023255492,0.311827864,0.642086547,0.003423386,0.234964055,3651.472957,5940.399902,560.3686702,0.057310266,0.036245498,7.531656676,0.056368617,0.106811006,0.0312472,-0.062315656,547,0.077449094,2,1,70.62071604,0,113.84735,327949.0962,133292,144482,89413.8016,84056802.26,5049.09,57088,De 250 a 500 mil,Noreste,96739
La Laguna,4,Coahuila,0.633365557,-0.015471175,86.80765628,1.576269233,22.14331732,0.037844076,0.349786979,0.487339858,-0.074577677,1.246672771,6401.395251,5688.945313,416.4206249,0.091665558,-0.043443634,9.762315878,0.058574001,0.27041504,0.027497997,-0.036708227,734,0.060168499,1,0.751499572,206.25111,0,108.7782795,1267629.541,495966,527718,337377.6439,222268140.1,5011.86,220663,Más de un millón,Noreste,408227
Piedras Negras,7,Coahuila,0.25039553,-0.113998387,91.41978902,0.956806467,21.41611668,0.018368895,0.310541683,0.619179293,0.029452101,1.062834163,2891.744,5109.252441,188.7824405,0.078992004,0.082837857,3.444390077,0.046099748,0.139090301,0.0312472,-0.053202902,427,0.066128023,2,1,26.62799214,2,38.70802265,185519.0573,70159,75127,50224.36791,17705672.84,1382.66,40985,Menos de 250 mil,Noreste,61365
Tecomán,9,Colima,0.527473158,0.097737211,88.05211665,4.361867808,17.21785488,0.067546765,0.344123047,0.301173059,-0.169373874,0.21407581,5656.84,4525.417969,112.8300512,0.078934361,-0.032901171,4.390157613,0.094682099,0.309890168,0.029829624,0.000484687,427,0.056211224,2,0.684466019,20.63979154,0,38.04966502,148741.8124,60696,64311,39342.09095,7360927.522,1198.12,23706,Menos de 250 mil,Centro-Occidente,44268
Colima-Villa de Álvarez,8,Colima,0.498484539,-0.031831227,87.52772747,1.439940581,21.7538347,0.029901457,0.332676201,0.461089033,-0.086378483,0.779551606,5247.919611,5986.392578,213.2010508,0.11370188,0.046392309,9.541424899,0.039303996,0.32772749,0.029829624,-0.018967838,603,0.048492511,2,0.53539823,44.90584178,0,68.77873214,351624.63,168590,177182,102113.2413,39588476.67,2293.69,106923,De 250 a 500 mil,Centro-Occidente,120935
Manzanillo,60,Colima,0.813668352,0.046512475,86.60849249,2.053244011,25.45067888,0.036340712,0.359916915,0.493710126,-0.066004133,0.563674047,3657.194995,5262.931641,127.6629515,0.085963372,0.109647153,9.08130355,0.028691319,0.507024287,0.029829624,-0.010187645,447,0.03894374,2,0.679292929,36.95675366,1,43.8004465,171010.6915,94517,98347,49456.85922,14887531.28,1337.83,42174,Menos de 250 mil,Centro-Occidente,61130
Tuxtla Gutiérrez,10,Chiapas,0.470258305,0.029279707,69.27731033,3.52059906,16.30851145,0.072465655,0.371183366,0.495545178,-0.048346788,0.236471366,4836.733828,6089.508301,117.0030032,0.076625554,-0.042802319,5.829162211,0.063687892,0.331447237,0.023767683,-0.076750774,610,0.049515201,0,0.514476615,0.618077991,0,22.22930986,728063.4586,306634,322608,186673.3442,38080409.09,1563.37,145655,De 500 mil a un millón,Sur-Sureste,208848
Tapachula,61,Chiapas,0.279840571,-0.120281593,66.48446178,7.668337923,17.47383056,0.278326692,0.42606635,0.270364209,-0.20805923,0.853368889,5803.046643,4112.050293,55.38168113,0.068807557,0.09409946,3.057839907,0.052209726,0.516635854,0.023767683,-0.057477875,505,0.025216606,2,0.387358185,0.35248875,2,10.62760195,340436.3968,168310,172664,89458.75975,9813310.886,962.59,46697,De 250 a 500 mil,Sur-Sureste,99257
Chihuahua,12,Chihuahua,0.113032532,-0.0391232,100,0.203142768,20.54412976,0.020932489,0.392886923,0.702287473,-0.020304678,2.295808611,4385.232241,6025.168457,375.6249421,0.238447009,0.105805235,14.71155007,0.038550393,0.194228214,0.012963392,-0.084568726,709,0.058753001,2,0.731216931,628.5575224,0,109.096101,912820.1947,387021,411179,259782.8151,158265931.3,18112.92,292133,De 500 mil a un millón,Noroeste,309485
Juárez,11,Chihuahua,0.082097441,-0.030993236,99.34227873,0.302795931,25.41064759,0.00861916,0.276897731,0.606372757,-0.011081564,10.85346663,5157.700945,5485.789551,183.8817002,0.045402121,-0.037899096,8.713253564,0.068553882,0.225749889,0.012963392,-0.025489093,661,0.064091224,1,0.425055928,368.1702016,2,55.10764649,1390525.354,696245,743924,375421.1607,137687960.2,3561.14,379603,Más de un millón,Noroeste,488862
Valle de México,13,Distrito Federal,0.598609441,0.005196513,92.57471011,0.702378743,13.85695624,0.03367725,0.310826778,0.465482574,-0.056113632,1.333303141,10856.89105,5774.948242,371.9584315,0.299243782,0.107411961,16.20007029,0.050197321,0.399274602,0.0258087,-0.014979284,935,0.061496794,3,0.598287985,487.58499,0,81.51309586,20848057.69,9415143,10032084,5558325.959,3752383553,7853.92,6630090,Más de un millón,Centro,6166015
Durango,62,Durango,0.212210927,-0.016800066,80.29754037,1.957106939,17.88036555,0.067983613,0.350267028,0.473588889,-0.035096563,0.682500515,8575.119855,5529.06543,106.1577072,0.131427139,0.207016766,1.440671278,0.039194276,0.294919939,0.017342737,-0.017524828,628,0.042537081,1,0.448139351,178.3277868,0,42.64472871,614991.0901,283252,295836,157709.8287,33136206.52,9259.71,143845,De 500 mil a un millón,Noroeste,180550
Celaya,63,Guanajuato,0.57999593,-0.016389118,80.62127119,2.921243078,19.62486803,0.064006501,0.345845215,0.414947783,-0.106338479,1.023991505,8044.428113,5576.02002,275.048472,0.188120172,0.046205033,7.011227936,0.038519983,0.249581118,0.028230746,0.016342066,606,0.067483173,3,0.388560158,84.47823403,0,69.51656437,623000.7126,276536,296548,157891.0031,81598132.78,1167.41,109948,De 500 mil a un millón,Centro-Occidente,181856
Guanajuato,64,Guanajuato,0.25879269,-0.080894867,77.5952572,1.280535348,17.1360132,0.004955684,0.25376239,0.474046697,0.098889236,0.530447047,5726.756897,5559.589844,387.6387804,0.214472751,0.243930974,5.127369787,0.029268804,0.822470505,0.028230746,0.027918901,363,0.05125186,2,0.588957055,104.1215882,0,89.85241256,177868.9734,73324,77285,44947.60733,31314484.52,1014.54,37514,Menos de 250 mil,Centro-Occidente,49679
Irapuato,65,Guanajuato,0.722972933,0.049564686,81.15035639,1.654509168,16.51638699,0.051285889,0.375332447,0.390805326,-0.066062308,0.46666859,8010.209477,5368.317871,144.6529048,0.119744757,0.573499881,8.768508922,0.042484712,0.224568073,0.028230746,0.01133872,609,0.033598754,0,0.358139535,49.78637218,0,36.4364479,550150.5493,284121,293999,132320.814,42657956.54,851.41,96460,De 500 mil a un millón,Centro-Occidente,146061
León,14,Guanajuato,0.386574075,-0.015873828,82.94292923,1.319188332,16.71413128,0.027566332,0.282612397,0.457026126,-0.056709602,1.04534511,9450.437438,4865.668457,285.676397,0.286733671,0.13485568,8.516542178,0.050374387,0.217694966,0.028230746,-0.023280948,744,0.051004482,3,0.374890255,76.83976347,0,70.71226522,1665934.332,673095,709271,398757.3171,203736709.2,1759.1,312315,Más de un millón,Centro-Occidente,440328
La Piedad-Pénjamo,26,Guanajuato,0.528675183,-0.249419868,77.09954371,1.57341793,23.63854728,0.085666654,0.290376279,0.28898629,-0.144070498,0.09619351,7540.404956,4494.946777,58.36562529,0.070328995,-0.129475199,1.613675884,0.059735959,0.316034031,0.02420932,-0.052201281,450,0.036625085,2,0.285385501,12.82365618,0,19.01048372,256557.0969,149668,155358,64994.81039,9075107.232,1846.76,44699,De 250 a 500 mil,Centro-Occidente,79933
San Francisco del Rincón,15,Guanajuato,0.304835374,0.012327563,79.75562322,1.230442813,20.0345457,0.038123392,0.242492071,0.307493799,-0.167339814,0.326345979,7697.973829,4195.49707,107.2563815,0.197567416,0.16036858,2.847547453,0.044064188,0.118614453,0.028230746,-0.000362298,418,0.040426921,2,0.325268817,38.09056983,0,27.06951481,189285.6954,99976,104188,44364.5161,11187835.81,716.39,30401,Menos de 250 mil,Centro-Occidente,50947
Salamanca,66,Guanajuato,0.423158339,-0.006684012,82.28622706,1.318939826,14.93236696,0.047886657,0.352294311,0.397923521,-0.003533268,0.283516407,5910.295203,5142.647949,83.22096041,0.048551858,-0.010704823,14.10286034,0.013314533,0.034370394,0.028230746,-0.014790282,452,0.04581783,2,0.370212766,302.9462106,0,164.6535226,269519.7931,185410,194313,68637.70295,125874535.6,756.54,55984,De 250 a 500 mil,Centro-Occidente,75333
Moroléon-Uriangato,78,Guanajuato,0.210964999,-0.211290205,83.8263285,0.78803674,27.0001306,0.044406574,0.436241128,0.185629887,-0.248046145,0.241555526,5689.47644,5166.020996,59.58012228,0.047645526,-0.349885627,2.508641522,0.120988477,0.555095666,0.028230746,-0.002795338,377,0.056974782,2,0.519685039,20.60669821,0,14.72244712,111614.1934,57550,61027,29612.83251,3647602.474,274.78,29468,Menos de 250 mil,Centro-Occidente,38285
Acapulco,16,Guerrero,0.691504972,0.025594337,55.11031237,8.670005191,29.18890395,0.056135079,0.341421375,0.314238594,-0.089096215,0.23709845,6623.435103,5533.047852,93.87072676,0.240170466,0.110001969,5.308240872,0.067529426,0.550922904,0.014782215,0.014823049,598,0.045315845,2,0.330275229,8.832217817,1,54.22014468,897849.2338,411108,430622,238238.2657,40435420.55,3534.13,208808,De 500 mil a un millón,Sur-Sureste,316473
Chilpancingo,77,Guerrero,0.209154003,-0.031507947,57.65179976,10.82425634,19.47605634,0.065296549,0.422831703,0.407806529,-0.120203305,1.617399041,6181.053952,5912.145996,95.10169467,0.23800394,-0.022730499,1.433313729,0.033180864,0.471671174,0.014782215,0.016249281,476,0.019981599,2,0.234146341,5.985266123,0,57.97089197,253956.9618,75629,77171,61578.17954,7650414.767,2180.94,72092,De 250 a 500 mil,Sur-Sureste,71000
Tula,19,Hidalgo,0.822329371,-0.005361269,80.90853101,1.48205026,22.5873395,0.076416936,0.45996024,0.320185095,-0.102362635,0.743661324,2669.762615,5477.950195,283.4783496,0.071939023,0.204203675,5.378926381,0.025448469,0.248676231,0.023122837,0.031936888,402,0.04433805,2,0.817073171,-36.39238653,0,313.4899282,212681.8475,107188,112161,54964.39778,179968958.8,592.33,55726,Menos de 250 mil,Centro,66980
Tulancingo,18,Hidalgo,0.502086494,0.12285863,76.01617548,2.835849789,22.94507807,0.075743882,0.346163651,0.175608426,-0.176748914,0.791752655,3697.777435,4493.163574,47.40711711,0.114125783,0.118698174,1.93213999,0.078330469,0.301519074,0.023122837,0.055712403,470,0.082167686,2,0.400530504,-1.117766936,0,9.087073179,250499.4476,132021,143840,65281.31381,6847283.511,673.56,56838,De 250 a 500 mil,Centro,77947
Pachuca,17,Hidalgo,0.58880787,-0.019761618,78.39687831,1.488237958,30.96456301,0.04058914,0.353395002,0.421867511,-0.078710663,0.974743453,4070.863138,6314.923828,144.9976406,0.097494008,0.110511614,8.707454736,0.048821927,0.256206372,0.023122837,-0.035845474,621,0.055242911,2,0.464387464,-2.534355851,0,27.27393258,540571.2855,214885,227450,154052.6492,33089130.32,1201.61,170194,De 500 mil a un millón,Centro,200920
Guadalajara,20,Jalisco,0.454370573,-0.024508639,87.76810826,1.186397537,18.62164814,0.016920854,0.286632285,0.542744354,-0.047871869,1.52875566,9128.080683,5695.895508,295.2473859,0.213544622,-0.048613103,10.83513276,0.04989973,0.240955268,0.022644609,-0.024505045,881,0.055500981,3,0.884691849,199.2237686,0,91.98553389,4614710.416,1885442,1996235,1178866.237,591582996.9,2734.1,1393436,Más de un millón,Centro-Occidente,1351266
Ocotlán,22,Jalisco,0.471100279,0.06736354,90.6608854,1.361208103,21.94896876,0.06453692,0.326344907,0.441731571,-0.082894917,1.505914113,5930.159396,5604.373047,184.2756036,0.104051807,-0.065939071,2.12460551,0.02722787,0.103951317,0.022644609,0.041727512,416,0.039344262,2,0.664705882,143.3593038,0,58.11821237,145438.7643,68562,71370,35261.32402,13209431.21,1078.32,27076,Menos de 250 mil,Centro-Occidente,43346
Puerto Vallarta,21,Jalisco,0.83611971,0.060496067,76.27789852,1.075503741,29.2290512,0.032996232,0.337580798,0.4757913,-0.089877902,0.310601954,6085.966037,5587.209961,168.8421812,0.053766668,-0.183442868,10.96303866,0.064429055,0.27207944,0.02248581,-0.038477611,533,0.059315897,2,0.611764706,115.1070593,1,63.20171372,412659.3127,153292,162958,115485.4188,27548862.8,1447.95,85875,De 250 a 500 mil,Centro-Occidente,145068
Toluca,23,México,0.572814657,-0.034679645,83.18339563,1.83702241,16.84246535,0.039991722,0.29705713,0.446611466,-0.037277322,0.7,5499.108157,5126.628418,374.1986645,0.370488508,0.112308811,9.697961378,0.052038934,0.345701151,0.027727175,0.022541406,732,0.043225425,1,0.478417266,173.3986046,0,106.4854352,2074353.487,915440,956798,490014.1637,359434967.1,2228.69,457203,Más de un millón,Centro,546648
